id,url,title,date,imageUrl,thumbUrl
318458,http://lbry-web-007.amnh.org/digital/items/show/66319,"Birds, from the Upper Jurassic (Archaeornis) male courting female, painting by the author, plate from book",1941-06,http://lbry-web-007.amnh.org/digital/files/original/e1496c2143fc2f1246cc2d6db5f8ba2f.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/e1496c2143fc2f1246cc2d6db5f8ba2f.jpg
318404,http://lbry-web-007.amnh.org/digital/items/show/66318,"Model of the Jaguar Group, depicting Sonora, Mexico",1941,http://lbry-web-007.amnh.org/digital/files/original/fe21ad9c35a3219804a7dc28c55cbd03.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/fe21ad9c35a3219804a7dc28c55cbd03.jpg
318379,http://lbry-web-007.amnh.org/digital/items/show/66317,"Caribou (Grant Caribou) Group, depicting the Alaska Peninsula, Hall of North American Mammals, 1941",1941-08,http://lbry-web-007.amnh.org/digital/files/original/1b8c33271075043f53e85e174f9b49e7.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1b8c33271075043f53e85e174f9b49e7.jpg
318367,http://lbry-web-007.amnh.org/digital/items/show/66316,"Alaska Brown Bear Group, depicting the Alaskan Peninsula, Hall of North American Mammals, 1941",1941-05,http://lbry-web-007.amnh.org/digital/files/original/1660d48841603943ccfbb463c211cc61.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1660d48841603943ccfbb463c211cc61.jpg
318364,http://lbry-web-007.amnh.org/digital/items/show/66315,"White Sheep or Dall Sheep Group, depicting Denali National Park, Alaska, Hall of North American Mammals, 1941",1941-06,http://lbry-web-007.amnh.org/digital/files/original/0560214fa12b59b38e340155efbb78be.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/0560214fa12b59b38e340155efbb78be.jpg
318264,http://lbry-web-007.amnh.org/digital/items/show/66314,"Grizzly Bear Group, depicting Yellowstone National Park, Wyoming, Hall of North American Mammals, 1941",1941-03,http://lbry-web-007.amnh.org/digital/files/original/906b37d3ba697338683bf9b0976e9a4d.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/906b37d3ba697338683bf9b0976e9a4d.jpg
318233,http://lbry-web-007.amnh.org/digital/items/show/66313,"Mr. Belmore Browne painting background for Alaska Bear Group, Hall of North American Mammals, February, 1941",1941-02,http://lbry-web-007.amnh.org/digital/files/original/0d7422179148a487f522a45b52966688.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/0d7422179148a487f522a45b52966688.jpg
318228,http://lbry-web-007.amnh.org/digital/items/show/66312,"Male Alaska bear, Alaska Bear Group, Hall of North American Mammals, February, 1941",1941-02,http://lbry-web-007.amnh.org/digital/files/original/36443f8a49c86a7898139d3a48225759.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/36443f8a49c86a7898139d3a48225759.jpg
317731,http://lbry-web-007.amnh.org/digital/items/show/66311,"Unfinished Alaska Brown Bear Group, Hall of North American Mammals, January, 1941",1941-01,http://lbry-web-007.amnh.org/digital/files/original/fe8587b56a1cbcbdc3fd8de1c8263a3f.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/fe8587b56a1cbcbdc3fd8de1c8263a3f.jpg
317728,http://lbry-web-007.amnh.org/digital/items/show/66310,"Hall of North American Mammals showing cases for Bighorn and White Sheep Groups under construction, January, 1941",1941-01,http://lbry-web-007.amnh.org/digital/files/original/12d094a28b41e331ffafcf5689611ff3.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/12d094a28b41e331ffafcf5689611ff3.jpg
317724,http://lbry-web-007.amnh.org/digital/items/show/66309,"View of the Hall of North American Mammals showing group dioramas under construction, January, 1941",1941-01,http://lbry-web-007.amnh.org/digital/files/original/f6f777c3cbb6ddd12473872bbcdd8925.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/f6f777c3cbb6ddd12473872bbcdd8925.jpg
317663,http://lbry-web-007.amnh.org/digital/items/show/66308,"Robert H. Rockwell at work on clay model of Alaskan brown bear, 1940",1940-12,http://lbry-web-007.amnh.org/digital/files/original/890fa1c33cdc5f9ad9807ff47790e7c0.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/890fa1c33cdc5f9ad9807ff47790e7c0.jpg
